volný 473;volný 473
volný 474;volný 474
volný 475;volný 475
volný 476;volný 476
volný 477;volný 477
volný 478;volný 478
volný 479;volný 479
vítejte v openavrc;vítejte v open á vé r c
stáhni plyn na nulu;stáhni plyn na nulu
spínače nejsou výchozí;spínače nejsou výchozí
poškozená eeprom;poškozená eeprom
špatná eeprom;špatná eeprom
slabá baterie;slabá baterie
rádio neaktivní;rádio neaktivní
chyba;chyba
volný 488;volný 488
nedostatek paměti;nedostatek paměti
volný 490;volný 490
volný 491;volný 491
volný 492;volný 492
volný 493;volný 493
volný 494;volný 494
volný 495;volný 495
volný 496;volný 496
volný 497;volný 497
volný 498;volný 498
volný 499;volný 499
volný 500;volný 500
volný 501;volný 501
20 sekund;20 sekund
30 sekund;30 sekund
volný 504;volný 504
volný 505;volný 505
volný 506;volný 506
volný 507;volný 507
model je zapnutý;model je zapnutý
volný 509;volný 509
telemetrie aktivní;telemetrie aktivní
ztráta telemetrie;ztráta telemetrie
